Model run 2021090612Z
Started looking for data at 17:00Z
Data complete at 17:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

TARANAKI; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Northwesterlies developing in the morning.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


WANGANUI; Tue 07 Sep 2021; Cloudy at first, with a few showers developing in the morning. Fresh northerlies, easing to westerlies in the afternoon.; FewShowers; Cloudy;Showers;FewShowers;FewShowers;
WANGANUI; Wed 08 Sep 2021; Fine with a few clouds at first, then becoming cloudy with scattered rain developing in the morning. Westerlies, turning southerly in the afternoon.; Showers; Fine;Showers;Rain;Cloudy;
WANGANUI; Thu 09 Sep 2021; Mostly cloudy, with fine spells and isolated showers developing in the morning. Westerlies, becoming fresh for a time in the afternoon.; FewShowers; Cloudy;Cloudy;Fine;Fine;
WANGANUI; Fri 10 Sep 2021; Partly cloudy, then rain developing in the evening. Strong northwesterlies, easing to westerlies in the evening.; Showers; Fine;Wind;Wind;Rain;
WANGANUI; Sat 11 Sep 2021; Fine with a few clouds. Southwesterlies, easing to light winds in the morning.; Fine; Fine;PartCloudy;Fine;Fine;
WANGANUI; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Northwesterlies developing in the morning.; Cloudy; Fine;Cloudy;Cloudy;PartCloudy;


MANAWATU; Tue 07 Sep 2021; Cloudy with scattered rain, clearing to fine with high cloud for a time in the afternoon and evening. Northerlies, rising to strong northwesterlies for a time in the afternoon and evening.; FewShowers; Cloudy;Showers;PartCloudy;FewShowers;
MANAWATU; Wed 08 Sep 2021; Fine at first, then becoming cloudy with scattered rain developing in the morning. Northwesterlies, turning southwesterly for a time in the afternoon and evening.; Showers; Fine;Showers;Rain;Cloudy;
MANAWATU; Thu 09 Sep 2021; Mostly cloudy, with patchy drizzle developing north of Palmerston North in the morning. Northwesterly breezes, rising to fresh westerlies in the morning.; Cloudy; Cloudy;Drizzle;Cloudy;Fine;
MANAWATU; Fri 10 Sep 2021; Partly cloudy, then rain developing in the evening. Strong northwesterlies, easing to westerlies in the evening.; Wind; Wind;Wind;Wind;Rain;
MANAWATU; Sat 11 Sep 2021; Mostly cloudy, becoming fine about the coast for a time in the afternoon. Southwesterlies, easing to light winds in the morning.; Fine; Fine;Cloudy;Fine;Fine;
MANAWATU; Sun 12 Sep 2021; Fine, becoming mostly cloudy in the morning. Northerly breezes, rising to fresh northwesterlies in the morning.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


HOROWHENUA; Tue 07 Sep 2021; Showers. Fresh northerlies, rising to strong northwesterlies in the afternoon.; Showers; Showers;Rain;Wind;Wind;
HOROWHENUA; Wed 08 Sep 2021; Cloudy with scattered rain, turning to drizzle in the afternoon. Westerlies, rising to fresh southerlies for a time in the afternoon and evening.; Showers; FewShowers;Rain;Cloudy;Cloudy;
HOROWHENUA; Thu 09 Sep 2021; Partly cloudy, with patchy drizzle developing in the morning. Westerlies, rising to strong northwesterlies in the morning.; Cloudy; PartCloudy;Wind;Wind;Wind;
HOROWHENUA; Fri 10 Sep 2021; A few showers, becoming more frequent in the morning. Gale northwesterlies, easing to fresh westerlies in the evening.; Wind; Wind;Wind;Wind;Rain;
HOROWHENUA; Sat 11 Sep 2021; Partly cloudy, becoming fine for a time in the afternoon. Southerlies, easing to light winds in the morning.; Fine; Fine;PartCloudy;Fine;Fine;
HOROWHENUA; Sun 12 Sep 2021; Fine with a few clouds, becoming cloudy in the evening. Northwesterly breezes, becoming fresh in the morning.; Cloudy; Fine;Wind;PartCloudy;Cloudy;


WELLINGTON; Tue 07 Sep 2021; Cloudy with scattered rain, becoming mainly fine with isolated showers in the afternoon. Strong northerlies, rising to gale northwesterlies in the afternoon.; Showers; FewShowers;Showers;Wind;FewShowers;
WELLINGTON; Wed 08 Sep 2021; Cloudy with scattered rain, clearing in the afternoon, but remaining mostly cloudy. Westerlies, rising to strong southerlies for a time in the afternoon and evening.; Showers; Showers;Showers;Showers;Fine;
WELLINGTON; Thu 09 Sep 2021; Fine with a few clouds, becoming cloudy for a time in the afternoon. Northwesterlies, becoming strong in the morning.; PartCloudy; Fine;Fine;Cloudy;Wind;
WELLINGTON; Fri 10 Sep 2021; A few showers. Severe gale northwesterlies, becoming fresh in the evening.; Wind; Wind;Wind;Wind;FewShowers;
WELLINGTON; Sat 11 Sep 2021; A few showers, clearing in the morning, but remaining partly cloudy. Fresh southerlies, easing to easterly breezes in the morning.; FewShowers; FewShowers;Fine;Fine;Fine;
WELLINGTON; Sun 12 Sep 2021; Fine with a few clouds, becoming cloudy in the evening. Northwesterlies, becoming strong in the morning.; Fine; Fine;Fine;Fine;Cloudy;


NELSON; Tue 07 Sep 2021; Rain, becoming showers in the morning. Northerlies, turning westerly in the afternoon.; Showers; Rain;Rain;Showers;Showers;
NELSON; Wed 08 Sep 2021; Showers, easing in the morning. Southwesterlies developing in the morning.; Showers; Showers;PartCloudy;FewShowers;Cloudy;
NELSON; Thu 09 Sep 2021; Fine with a few clouds, but cloudy with scattered rain about the ranges. Westerlies, becoming fresh in the evening.; FewShowers; FewShowers;FewShowers;Cloudy;Cloudy;
NELSON; Fri 10 Sep 2021; Partly cloudy, then showers developing in the morning. Fresh westerlies, easing in the morning.; Showers; PartCloudy;Showers;Rain;Drizzle;
NELSON; Sat 11 Sep 2021; Fine with a few clouds. Northerly breezes developing for a time in the afternoon.; Fine; Fine;Fine;Fine;Fine;
NELSON; Sun 12 Sep 2021; Cloudy with patchy drizzle, clearing in the morning, but remaining mostly cloudy. Westerly breezes.; Cloudy; Cloudy;Cloudy;Cloudy;Showers;


BULLER; Tue 07 Sep 2021; Showers, turning to rain for a time in the afternoon and evening. Northerlies, turning westerly in the afternoon.; Showers; Rain;FewShowers;Rain;Showers;
BULLER; Wed 08 Sep 2021; Cloudy with scattered rain, clearing in the evening, but remaining mostly cloudy. Southwesterlies.; Showers; Rain;Cloudy;Showers;Cloudy;
BULLER; Thu 09 Sep 2021; Rain, becoming drizzle in the morning. Westerlies developing in the morning.; Rain; Rain;Rain;Drizzle;Showers;
BULLER; Fri 10 Sep 2021; Cloudy with scattered rain, becoming widespread in the morning. Strong northwesterlies, easing to westerlies in the morning.; Showers; Showers;WindRain;Showers;Fine;
BULLER; Sat 11 Sep 2021; Fine, becoming partly cloudy in the morning. Light winds.; Fine; Fine;Fine;Fine;Cloudy;
BULLER; Sun 12 Sep 2021; Drizzle, becoming scattered rain in the morning. Northwesterly breezes developing in the morning.; Showers; Cloudy;Cloudy;Showers;Showers;


WESTLAND; Tue 07 Sep 2021; Showers, turning to rain in the afternoon. Northerlies, turning westerly in the afternoon.; Showers; Showers;Showers;Rain;Rain;
WESTLAND; Wed 08 Sep 2021; Mainly fine with isolated showers, clearing north of Otira in the evening, but remaining partly cloudy there. Southwesterly breezes.; FewShowers; Showers;Fine;PartCloudy;PartCloudy;
WESTLAND; Thu 09 Sep 2021; Rain, easing in the morning. Westerly breezes, becoming fresh in the morning.; Rain; Rain;Rain;Showers;Showers;
WESTLAND; Fri 10 Sep 2021; Rain with heavy falls. Fresh northwesterlies, easing to westerly breezes in the morning.; Rain; Rain;Rain;Fine;Fine;
WESTLAND; Sat 11 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerly breezes developing for a time in the afternoon.; Fine; Fine;Fine;PartCloudy;Cloudy;
WESTLAND; Sun 12 Sep 2021; Showers, turning to rain for a time in the afternoon. Northerly breezes, becoming fresh in the morning.; Showers; Showers;Showers;Rain;Showers;


MARLBOROUGH; Tue 07 Sep 2021; Showers, easing in the morning. Fresh northerlies, easing to westerlies in the evening.; Showers; Wind;FewShowers;Wind;Fine;
MARLBOROUGH; Wed 08 Sep 2021; Cloudy with scattered rain, clearing to fine with a few clouds in the evening. Southwesterlies, easing to light winds in the evening.; FewShowers; FewShowers;PartCloudy;Showers;Fine;
MARLBOROUGH; Thu 09 Sep 2021; Fine with a few clouds, then isolated showers developing in the morning. Westerly breezes, becoming fresh in the morning.; FewShowers; Fine;PartCloudy;PartCloudy;Wind;
MARLBOROUGH; Fri 10 Sep 2021; A few showers, becoming more frequent for a time in the afternoon. Gale northwesterlies, easing to westerlies in the morning.; FewShowers; Wind;Wind;Showers;FewShowers;
MARLBOROUGH; Sat 11 Sep 2021; Fine with a few clouds, then becoming cloudy with scattered rain developing inland in the evening. Northerly breezes about the coast developing in the evening.; FewShowers; Fine;Fine;PartCloudy;FewShowers;
MARLBOROUGH; Sun 12 Sep 2021; Partly cloudy. Northwesterlies developing in the morning.; PartCloudy; Fine;Fine;PartCloudy;PartCloudy;


CHRISTCHURCH; Tue 07 Sep 2021; Fine, becoming mostly cloudy in the afternoon. Fresh northerlies, easing to southwesterly breezes in the evening.; PartCloudy; Fine;Wind;Wind;PartCloudy;
CHRISTCHURCH; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Fresh southwesterlies, easing to westerly breezes in the evening.; Showers; Cloudy;Wind;Wind;Fine;
CHRISTCHURCH; Thu 09 Sep 2021; Partly cloudy, becoming fine in the evening. Fresh northerlies, rising to strong northwesterlies for a time in the afternoon.; Fine; PartCloudy;Wind;Wind;Fine;
CHRISTCHURCH; Fri 10 Sep 2021; Cloudy, then showers developing in the morning. Fresh northwesterlies, easing to southeasterlies for a time in the afternoon.; Showers; Wind;Cloudy;Showers;Rain;
CHRISTCHURCH; Sat 11 Sep 2021; Fine, becoming partly cloudy about Banks Peninsula in the evening. Southwesterlies, turning easterly in the morning.; Fine; Fine;Fine;Fine;Fine;
CHRISTCHURCH; Sun 12 Sep 2021; Mostly cloudy, becoming fine in the morning. Northerly breezes, becoming fresh in the morning.; PartCloudy; Fine;Cloudy;Fine;Wind;


CANTERBURY PLAINS; Tue 07 Sep 2021; Fine with a few clouds, then isolated showers developing about the coast in the afternoon. Fresh northerlies, easing to northwesterly breezes in the afternoon.; FewShowers; Fine;Fine;PartCloudy;PartCloudy;
CANTERBURY PLAINS; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Southwesterlies, easing to light winds in the evening.; Showers; Showers;Showers;Fine;Fine;
CANTERBURY PLAINS; Thu 09 Sep 2021; Fine with a few clouds. Northwesterlies, becoming fresh in the morning.; Fine; Fine;PartCloudy;Fine;Fine;
CANTERBURY PLAINS; Fri 10 Sep 2021; A few showers, becoming more frequent with some heavy in the evening. Northwesterlies, becoming light for a time in the afternoon.; FewShowers; PartCloudy;FewShowers;FewShowers;Showers;
CANTERBURY PLAINS; Sat 11 Sep 2021; Fine with a few clouds. Easterly breezes developing in the morning.; Fine; Fine;Fine;Fine;Fine;
CANTERBURY PLAINS; Sun 12 Sep 2021; Fine with a few clouds. Northerlies, becoming fresh in the evening.; Fine; Fine;Fine;Fine;Fine;


NORTH OTAGO; Tue 07 Sep 2021; Partly cloudy, then showers developing in the afternoon. Northerlies, turning southwesterly in the afternoon.; Showers; Fine;Fine;Showers;Showers;
NORTH OTAGO; Wed 08 Sep 2021; Showers at first, clearing to fine with a few clouds in the morning. Strong westerlies, easing in the afternoon.; FewShowers; Showers;Wind;Cloudy;Fine;
NORTH OTAGO; Thu 09 Sep 2021; Partly cloudy, becoming fine north of Oamaru for a time in the afternoon. Northwesterlies, becoming strong in the morning.; PartCloudy; Fine;PartCloudy;Wind;Wind;
NORTH OTAGO; Fri 10 Sep 2021; Showers, becoming drizzle inland for a time in the afternoon. Westerlies developing in the morning.; Showers; Showers;FewShowers;Showers;Fine;
NORTH OTAGO; Sat 11 Sep 2021; Fine, becoming mostly cloudy in the morning. Westerlies, easing to light winds in the morning.; PartCloudy; Fine;Fine;Cloudy;Cloudy;
NORTH OTAGO; Sun 12 Sep 2021; Fine with high cloud. Northerly breezes, becoming fresh in the morning.; PartCloudy; Fine;PartCloudy;PartCloudy;Wind;


DUNEDIN; Tue 07 Sep 2021; Partly cloudy, then showers for a time in the afternoon and evening. Northerly breezes, rising to fresh westerlies in the afternoon.; Showers; Cloudy;Fine;Showers;Showers;
DUNEDIN; Wed 08 Sep 2021; A few showers at first, clearing in the morning, but remaining partly cloudy. Strong westerlies, easing in the evening.; Wind; Wind;Wind;Wind;Fine;
DUNEDIN; Thu 09 Sep 2021; Partly cloudy, then showers developing in the evening. Fresh westerlies, rising to gale northwesterlies for a time in the afternoon.; FewShowers; PartCloudy;Cloudy;Wind;Showers;
