Model run 2021090612Z
Started looking for data at 19:00Z
Data complete at 19:05ZZ - Processing 2021090612Z Run 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

TAIHAPE; Thu 09 Sep 2021; Mostly cloudy at first, then scattered rain developing in the morning. Westerlies, becoming fresh for a time in the afternoon and evening.; Showers; Cloudy;FewShowers;Showers;PartCloudy;
TAIHAPE; Fri 10 Sep 2021; A few showers, becoming rain in the evening. Strong northwesterlies, becoming fresh in the evening.; Showers; FewShowers;Wind;Wind;Rain;
TAIHAPE; Sat 11 Sep 2021; A few showers, clearing to fine in the evening. Southwesterlies, easing to light winds in the afternoon.; FewShowers; Showers;Showers;FewShowers;Fine;
TAIHAPE; Sun 12 Sep 2021; Partly cloudy with isolated showers, clearing, but becoming mostly cloudy. Westerlies.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;
TAIHAPE; Mon 13 Sep 2021; Cloudy with scattered rain, becoming widespread later. Fresh northwesterlies, becoming strong for a time.; Showers; Showers;Wind;Wind;Rain;
TAIHAPE; Tue 14 Sep 2021; Rain, easing to a few showers. Southerlies developing for a time.; Showers; Showers;Rain;FewShowers;Fine;
TAIHAPE; Wed 15 Sep 2021; Fine with a few clouds. Westerly breezes developing.; Fine; Fine;Fine;Fine;Cloudy;
TAIHAPE; Thu 16 Sep 2021; Mostly cloudy, with isolated showers for a time. Southwesterlies, easing to light winds.; Cloudy; PartCloudy;Cloudy;PartCloudy;Fine;


GISBORNE; Tue 07 Sep 2021; Showers, with some heavy in the evening. Northerlies, becoming fresh in the morning.; Showers; Showers;Showers;Showers;Showers;
GISBORNE; Wed 08 Sep 2021; A few showers, clearing to fine about the ranges in the evening. Westerlies, becoming fresh for a time in the afternoon and evening.; FewShowers; Fine;FewShowers;FewShowers;PartCloudy;
GISBORNE; Thu 09 Sep 2021; Fine with a few clouds. Westerlies.; Fine; Fine;Fine;Fine;Fine;
GISBORNE; Fri 10 Sep 2021; Mostly cloudy, with isolated showers developing in the morning. Fresh northwesterlies, easing in the evening.; FewShowers; Cloudy;PartCloudy;PartCloudy;FewShowers;
GISBORNE; Sat 11 Sep 2021; Rain, easing to isolated showers and fine breaks in the morning. Northwesterlies, turning southwesterly in the morning.; Showers; Rain;Fine;FewShowers;Fine;
GISBORNE; Sun 12 Sep 2021; Fine with a few clouds. Westerlies.; Fine; Fine;Fine;Fine;Fine;
GISBORNE; Mon 13 Sep 2021; Fine with a few clouds, then isolated showers developing. Fresh northwesterlies.; PartCloudy; Fine;Wind;PartCloudy;FewShowers;
GISBORNE; Tue 14 Sep 2021; Rain, easing to a few showers. Westerlies, turning southerly for a time.; Showers; Rain;Rain;FewShowers;FewShowers;
GISBORNE; Wed 15 Sep 2021; Fine with a few clouds. Southwesterlies, easing to light winds.; Fine; Fine;Cloudy;Fine;Fine;
GISBORNE; Thu 16 Sep 2021; Mainly fine with isolated showers, clearing for a time, but becoming mostly cloudy. Southerly breezes developing for a time.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;


HAWKES BAY; Tue 07 Sep 2021; A few showers, becoming more frequent for a time in the afternoon and evening. Northerlies, turning westerly inland in the evening.; FewShowers; Showers;Showers;Showers;FewShowers;
HAWKES BAY; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Northwesterlies, rising to fresh southwesterlies for a time in the afternoon and evening.; FewShowers; Fine;FewShowers;Showers;PartCloudy;
HAWKES BAY; Thu 09 Sep 2021; Fine with a few clouds, then isolated showers developing south of Napier in the afternoon. Westerlies, becoming fresh in the morning.; Fine; Fine;Fine;Fine;PartCloudy;
HAWKES BAY; Fri 10 Sep 2021; Partly cloudy, with a few showers developing in the afternoon. Fresh northwesterlies.; FewShowers; PartCloudy;PartCloudy;PartCloudy;FewShowers;
HAWKES BAY; Sat 11 Sep 2021; A few showers, clearing to fine in the evening. Southwesterlies, easing to light winds in the afternoon.; FewShowers; FewShowers;Fine;FewShowers;Fine;
HAWKES BAY; Sun 12 Sep 2021; Fine with a few clouds. Northwesterlies.; Fine; Fine;Fine;Fine;Fine;
HAWKES BAY; Mon 13 Sep 2021; Fine with a few clouds, then becoming cloudy with scattered rain developing later. Northwesterlies, becoming fresh for a time.; FewShowers; Fine;Wind;PartCloudy;FewShowers;
HAWKES BAY; Tue 14 Sep 2021; Rain, easing to a few showers. Westerlies, turning southerly for a time.; Showers; Rain;Showers;FewShowers;PartCloudy;
HAWKES BAY; Wed 15 Sep 2021; Fine with a few clouds. Westerly breezes.; Fine; Fine;Fine;Fine;Fine;
